id,option_id:id,sequence,medicine_id:id
line_5h_abc_atv_1,option_5h_abc_atv,10,medicine_abc_3tc
line_5h_abc_atv_2,option_5h_abc_atv,20,medicine_atv_r
line_1k_abc_dtg_1,option_1k_abc_dtg,10,medicine_abc_3tc
line_1k_abc_dtg_2,option_1k_abc_dtg,20,medicine_dtg
line_2k_abc_drv_fixed_1,option_2k_abc_drv_fixed,10,medicine_abc_3tc
line_2k_abc_drv_fixed_2,option_2k_abc_drv_fixed,20,medicine_drv_r
line_2k_abc_drv_separate_1,option_2k_abc_drv_separate,10,medicine_abc_3tc
line_2k_abc_drv_separate_2,option_2k_abc_drv_separate,20,medicine_drv
line_2k_abc_drv_separate_3,option_2k_abc_drv_separate,30,medicine_rtv
line_1p_abc_lpv_1,option_1p_abc_lpv,10,medicine_abc_3tc
line_1p_abc_lpv_2,option_1p_abc_lpv,20,medicine_lpv_r
line_2g_abc_lpv_1,option_2g_abc_lpv,10,medicine_abc_3tc
line_2g_abc_lpv_2,option_2g_abc_lpv,20,medicine_lpv_r
line_5h_abc_lpv_1,option_5h_abc_lpv,10,medicine_abc_3tc
line_5h_abc_lpv_2,option_5h_abc_lpv,20,medicine_lpv_r
line_4h_abc_lpv_1,option_4h_abc_lpv,10,medicine_abc_3tc
line_4h_abc_lpv_2,option_4h_abc_lpv,20,medicine_lpv_r
line_2o_abc_ral_1,option_2o_abc_ral,10,medicine_abc_3tc
line_2o_abc_ral_2,option_2o_abc_ral,20,medicine_ral
line_5g_azt_atv_1,option_5g_azt_atv,10,medicine_azt_3tc
line_5g_azt_atv_2,option_5g_azt_atv,20,medicine_atv_r
line_1m_azt_dtg_1,option_1m_azt_dtg,10,medicine_azt_3tc
line_1m_azt_dtg_2,option_1m_azt_dtg,20,medicine_dtg
line_4l_azt_dtg_1,option_4l_azt_dtg,10,medicine_azt_3tc
line_4l_azt_dtg_2,option_4l_azt_dtg,20,medicine_dtg
line_5f_azt_dtg_1,option_5f_azt_dtg,10,medicine_azt_3tc
line_5f_azt_dtg_2,option_5f_azt_dtg,20,medicine_dtg
line_2l_azt_drv_fixed_1,option_2l_azt_drv_fixed,10,medicine_azt_3tc
line_2l_azt_drv_fixed_2,option_2l_azt_drv_fixed,20,medicine_drv_r
line_2l_azt_drv_separate_1,option_2l_azt_drv_separate,10,medicine_azt_3tc
line_2l_azt_drv_separate_2,option_2l_azt_drv_separate,20,medicine_drv
line_2l_azt_drv_separate_3,option_2l_azt_drv_separate,30,medicine_rtv
line_4g_azt_lpv_1,option_4g_azt_lpv,10,medicine_azt_3tc
line_4g_azt_lpv_2,option_4g_azt_lpv,20,medicine_lpv_r
line_1q_azt_lpv_1,option_1q_azt_lpv,10,medicine_azt_3tc
line_1q_azt_lpv_2,option_1q_azt_lpv,20,medicine_lpv_r
line_2c_azt_lpv_1,option_2c_azt_lpv,10,medicine_azt_3tc
line_2c_azt_lpv_2,option_2c_azt_lpv,20,medicine_lpv_r
line_2n_azt_ral_1,option_2n_azt_ral,10,medicine_azt_3tc
line_2n_azt_ral_2,option_2n_azt_ral,20,medicine_ral
line_2i_azt_tdf_lpv_1,option_2i_azt_tdf_lpv,10,medicine_azt_3tc
line_2i_azt_tdf_lpv_2,option_2i_azt_tdf_lpv,20,medicine_tdf
line_2i_azt_tdf_lpv_3,option_2i_azt_tdf_lpv,30,medicine_lpv_r
line_2s_azt_tdf_dtg_1,option_2s_azt_tdf_dtg,10,medicine_azt_3tc
line_2s_azt_tdf_dtg_2,option_2s_azt_tdf_dtg,20,medicine_tdf
line_2s_azt_tdf_dtg_3,option_2s_azt_tdf_dtg,30,medicine_dtg
line_tdf_atv_1,option_tdf_atv,10,medicine_tdf_3tc
line_tdf_atv_2,option_tdf_atv,20,medicine_atv_r
line_4j_tld_1,option_4j_tld,10,medicine_tdf_3tc_dtg
line_2p_tld_1,option_2p_tld,10,medicine_tdf_3tc_dtg
line_1j_tld_1,option_1j_tld,10,medicine_tdf_3tc_dtg
line_2j_tdf_drv_fixed_1,option_2j_tdf_drv_fixed,10,medicine_tdf_3tc
line_2j_tdf_drv_fixed_2,option_2j_tdf_drv_fixed,20,medicine_drv_r
line_2j_tdf_drv_separate_1,option_2j_tdf_drv_separate,10,medicine_tdf_3tc
line_2j_tdf_drv_separate_2,option_2j_tdf_drv_separate,20,medicine_drv
line_2j_tdf_drv_separate_3,option_2j_tdf_drv_separate,30,medicine_rtv
line_2d_tdf_lpv_1,option_2d_tdf_lpv,10,medicine_tdf_3tc
line_2d_tdf_lpv_2,option_2d_tdf_lpv,20,medicine_lpv_r
line_1n_tdf_lpv_1,option_1n_tdf_lpv,10,medicine_tdf_3tc
line_1n_tdf_lpv_2,option_1n_tdf_lpv,20,medicine_lpv_r
line_2m_tdf_ral_1,option_2m_tdf_ral,10,medicine_tdf_3tc
line_2m_tdf_ral_2,option_2m_tdf_ral,20,medicine_ral
